"systemLoad","gridTHD_a","gridTHD_b","gridTHD_c","driverFault"
"10","0.33244306664273","0.30435942550611","0.38112413390046","'1'"
"10","0.40078228891935","0.3313823055015","0.56859235249587","'1'"
"10","0.30695081261806","0.38292327261853","0.33640136694481","'10'"
"10","0.35614354674077","0.3335597726215","0.29656725248411","'11'"
"10","0.62844595879493","0.60284003962902","0.39623269373887","'11'"
"10","0.62945853621627","0.60917205431424","0.53747866234475","'11'"
"10","0.30912225544896","0.38197474933993","0.34046254507138","'10'"
"10","0.63157874328841","0.60358057954146","0.40126404722132","'11'"
"10","0.35359641750222","0.33330373500176","0.30005957647526","'11'"
"10","0.6261966308132","0.60701869837444","0.53484940642282","'11'"
"10","0.33064058596152","0.56893677499069","0.40124338640446","'10'"
"10","0.64607835432333","0.68116641202571","0.41437974091073","'11'"
"10","0.64927110816356","0.68064370410729","0.41759042825789","'11'"
"10","0.69308090230976","0.78059713702909","0.58966565912416","'11'"
"10","0.38148198603232","0.34360930812665","0.30806602524574","'100'"
"10","0.2983316828815","0.35127550331486","0.3308008631763","'101'"
"10","0.39509000639943","0.62732852784042","0.60422238973113","'101'"
"10","0.4150821003009","0.64609386815041","0.67938889408379","'101'"
"10","0.33652113068816","0.29669168693911","0.35895557754198","'110'"
"10","0.60463268091761","0.39509352745646","0.62596515843881","'110'"
"10","0.60917179926788","0.53879093076751","0.62669503356562","'110'"
"10","0.3824613527868","0.34056196125318","0.30555439264508","'100'"
"10","0.39954891754035","0.63127171587914","0.6034124858884","'101'"
"10","0.29559905349736","0.3538102850883","0.33223788106101","'101'"
"10","0.41546468666652","0.65031816669944","0.68023093007722","'101'"
"10","0.60522288105842","0.39948515858548","0.63217864395539","'110'"
"10","0.33502489842526","0.29790889931311","0.35717051959854","'110'"
"10","0.60755780407062","0.53247214303708","0.62741647847611","'110'"
"10","0.56808609656059","0.40363073630217","0.32847813245492","'100'"
"10","0.5400836193615","0.63159843623814","0.60931837200584","'101'"
"10","0.54058941418152","0.63027984310938","0.60796056627606","'101'"
"10","0.58932450434423","0.69290341543484","0.77971775770482","'101'"
"10","0.68129726624851","0.41558328771145","0.65164887746277","'110'"
"10","0.67850303403579","0.41104085113966","0.64649231802674","'110'"
